"","Draudėjo.kodas..code.","Juridinių.asmenų.registro.kodas..jarCode.","Pavadinimas..name.","Savivaldybė..kurioje.registruota.municipality.","Ekonominės.veiklos.rūšies.kodas.ecoActCode.","Ekonominės.veiklos.rūšies.pavadinimas.ecoActName.","Mėnuo..month.","Vidutinis.darbo.užmokestis..avgWage.","Apdraustųjų.skaičius..numInsured.","Vidutinis.darbo.užmokestis.II..avgWage2.","Apdraustųjų.skaičius.II..numInsured2.","Valstybinio.socialinio.draudimo.įmoka..tax."
"1",73215,110616212,"UŽDAROJI AKCINĖ BENDROVĖ ""LASVELA""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202301,"829.35",15,"",0,"2975.31"
"2",73215,110616212,"UŽDAROJI AKCINĖ BENDROVĖ ""LASVELA""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202302,"940.40",13,"",0,"2941.85"
"3",73215,110616212,"UŽDAROJI AKCINĖ BENDROVĖ ""LASVELA""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202303,"935.53",15,"",0,"3361.03"
"4",73215,110616212,"UŽDAROJI AKCINĖ BENDROVĖ ""LASVELA""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202304,"935.07",16,"",0,"3575.86"
"5",73215,110616212,"UŽDAROJI AKCINĖ BENDROVĖ ""LASVELA""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202305,"955.93",17,"",0,"3888.87"
"6",73215,110616212,"UŽDAROJI AKCINĖ BENDROVĖ ""LASVELA""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202306,"957.90",17,"",0,"3903.09"
"7",73215,110616212,"UŽDAROJI AKCINĖ BENDROVĖ ""LASVELA""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202307,"950.88",19,"",0,"4317.93"
"8",73215,110616212,"UŽDAROJI AKCINĖ BENDROVĖ ""LASVELA""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202308,"1002.54",19,"",0,"4541.14"
"9",73215,110616212,"UŽDAROJI AKCINĖ BENDROVĖ ""LASVELA""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202309,"949.47",19,"",0,"4322.79"
"10",73215,110616212,"UŽDAROJI AKCINĖ BENDROVĖ ""LASVELA""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202310,"888.70",17,"",0,"3618.71"
"11",73215,110616212,"UŽDAROJI AKCINĖ BENDROVĖ ""LASVELA""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202311,"1116.85",19,"",0,"4998.72"
"12",73215,110616212,"UŽDAROJI AKCINĖ BENDROVĖ ""LASVELA""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202312,"1043.86",16,"",0,"4026.92"
"13",350986,111670444,"UŽDAROJI AKCINĖ BENDROVĖ BALTSIGMUS","Klaipėdos m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202301,"1003.44",8,"",0,"1882.48"
"14",350986,111670444,"UŽDAROJI AKCINĖ BENDROVĖ BALTSIGMUS","Klaipėdos m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202302,"1028.83",8,"",0,"1931.81"
"15",350986,111670444,"UŽDAROJI AKCINĖ BENDROVĖ BALTSIGMUS","Klaipėdos m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202303,"1125.85",7,"",0,"1869.24"
"16",350986,111670444,"UŽDAROJI AKCINĖ BENDROVĖ BALTSIGMUS","Klaipėdos m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202304,"1111.49",7,"",0,"1841.93"
"17",350986,111670444,"UŽDAROJI AKCINĖ BENDROVĖ BALTSIGMUS","Klaipėdos m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202305,"1020.57",10,"",0,"2430.56"
"18",350986,111670444,"UŽDAROJI AKCINĖ BENDROVĖ BALTSIGMUS","Klaipėdos m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202306,"1059.78",10,"",0,"2525.72"
"19",350986,111670444,"UŽDAROJI AKCINĖ BENDROVĖ BALTSIGMUS","Klaipėdos m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202307,"1119.99",8,"",0,"2128.21"
"20",350986,111670444,"UŽDAROJI AKCINĖ BENDROVĖ BALTSIGMUS","Klaipėdos m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202308,"1469.30",7,"",0,"2449.84"
"21",350986,111670444,"UŽDAROJI AKCINĖ BENDROVĖ BALTSIGMUS","Klaipėdos m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202309,"1578.57",8,"",0,"3005.60"
"22",350986,111670444,"UŽDAROJI AKCINĖ BENDROVĖ BALTSIGMUS","Klaipėdos m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202310,"1578.52",8,"",0,"3005.50"
"23",350986,111670444,"UŽDAROJI AKCINĖ BENDROVĖ BALTSIGMUS","Klaipėdos m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202311,"1566.30",9,"",0,"3313.71"
"24",350986,111670444,"UŽDAROJI AKCINĖ BENDROVĖ BALTSIGMUS","Klaipėdos m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202312,"1466.36",9,"",0,"3091.97"
"25",432363,111697110,"UAB MANO VALDA","Kauno m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202301,"1013.18",6,"",0,"1462.79"
"26",432363,111697110,"UAB MANO VALDA","Kauno m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202302,"1064.30",6,"",0,"1537.23"
"27",432363,111697110,"UAB MANO VALDA","Kauno m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202303,"1094.61",6,"",0,"1581.37"
"28",432363,111697110,"UAB MANO VALDA","Kauno m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202304,"1263.10",6,"",0,"1826.72"
"29",432363,111697110,"UAB MANO VALDA","Kauno m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202305,"1148.02",5,"",0,"1380.53"
"30",432363,111697110,"UAB MANO VALDA","Kauno m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202306,"1145.78",5,"",0,"1377.81"
"31",432363,111697110,"UAB MANO VALDA","Kauno m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202307,"1073.97",6,"",0,"1528.82"
"32",432363,111697110,"UAB MANO VALDA","Kauno m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202308,"1212.76",6,"",0,"1707.10"
"33",432363,111697110,"UAB MANO VALDA","Kauno m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202309,"1206.83",6,"",0,"1698.46"
"34",432363,111697110,"UAB MANO VALDA","Kauno m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202310,"1398.72",4,"",0,"1298.95"
"35",432363,111697110,"UAB MANO VALDA","Kauno m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202311,"1393.62",4,"",0,"1294.00"
"36",432363,111697110,"UAB MANO VALDA","Kauno m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202312,"827.69",4,"",0,"765.72"
"37",19450,120405391,"UAB ""VANSTEKAS""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202301,"538.32",21,"",0,"2741.43"
"38",19450,120405391,"UAB ""VANSTEKAS""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202302,"697.28",26,"",0,"4315.49"
"39",19450,120405391,"UAB ""VANSTEKAS""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202303,"759.23",25,"",0,"4504.74"
"40",19450,120405391,"UAB ""VANSTEKAS""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202304,"769.52",27,"",0,"4955.08"
"41",19450,120405391,"UAB ""VANSTEKAS""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202305,"867.68",23,"",0,"4785.42"
"42",19450,120405391,"UAB ""VANSTEKAS""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202306,"828.23",24,"",0,"4766.24"
"43",19450,120405391,"UAB ""VANSTEKAS""","Vilniaus m. sav.",433900,"Kiti statybos baigiamieji ir apdailos darbai",202307,"760.67",25,"",0,"4552.45"
